date,site,acc,col,rand,row,weight,t0,t1,t2,t3,t4,t5,survival,protocol,run_count,run_ID
8/23/2019,BF,24,13,0.625652,C,0.0011,24,24.3,19.9,18.9,19.9,21.7,1,1,30,4
8/23/2019,BF,24,14,0.038799,A,0.0008,24,24.6,20.6,19.7,20.8,22.8,1,1,30,4
8/23/2019,BF,24,15,0.795986,B,0.0025,24,24.9,21.3,20.4,21.8,23.8,1,1,30,4
8/23/2019,BF,24,16,0.546948,C,0.002,24,25.1,21.8,21.3,22.8,24.9,1,1,30,4
8/23/2019,BF,24,17,0.761566,C,0.0013,24,25.4,22.4,22,23.9,26,1,1,30,4
8/23/2019,BF,24,18,0.290201,A,0.0011,24,25.6,22.9,22.8,24.8,27.1,1,1,30,4
8/23/2019,BF,24,19,0.18225,A,0.0024,24,25.8,23.3,23.6,25.6,28.1,1,1,30,4
8/23/2019,BF,24,20,0.606563,B,0.0011,24,25.9,23.4,24.4,26.6,29.2,1,1,30,4
8/23/2019,BF,24,21,0.060368,A,0.0007,24,26.1,24.2,25.2,27.6,30.5,1,1,30,4
8/23/2019,BF,24,22,0.949281,C,0.001,24,26,24.8,25.9,29,31.6,1,1,30,4
8/23/2019,BF,24,23,0.736208,C,0.001,24,26.1,25.4,26.9,30,32.7,1,1,30,4
8/23/2019,BF,24,24,0.612062,B,0.0025,24,26.3,25.8,27.7,30.9,34.2,1,1,30,4
8/23/2019,BF,24,25,0.860203,B,0.0018,24,26.3,26.3,28.7,32.4,35.4,1,1,30,4
8/23/2019,BF,24,26,0.616095,B,0.0028,24,26.4,26.8,29.7,33.5,36.9,1,1,30,4
8/23/2019,BF,24,27,0.444873,B,0.0007,24,26.5,27.4,30.6,34.8,38.1,1,1,30,4
8/23/2019,BF,24,28,0.508652,C,0.0007,24,26.5,27.9,31.6,35.8,39.8,0,1,30,4
8/23/2019,BF,24,29,0.75984,C,0.0011,24,26.6,28.5,32.6,37.4,41.3,0,1,30,4
8/23/2019,BF,24,30,0.992639,C,0.0007,24,26.7,28.9,33.8,38.6,42.5,0,1,30,4
